shortForm	longForm
CIWA-Ar	clinical institute withdrawal assessment for alcohol, test syndrome de sevrage d'alcool (echelle 0-67, score moyen 16-20)
CK	creatine kinase
CL	Colonne lombaire
CL	cholecystite lithiasique
CLAD	Chronic lung allograft dysfunction,
CLAD	Dysfonction chronique de greffon pulmonaire
CLAG	cladribine, cytarabine, filgrastim et mitoxantrone (chimio leucemie myeloide)
CLAP	Collection liquide aigue peri-pancreatique
CLCC	Centre de lutte contre le cancer
CLE	canal lombaire etroit
CLI	carcinome lobulaire infiltrant
CLIN	comite de lutte contre les infections nosocomiales
CLIS	Carcinome lobulaire in situ
CLM	chaine legere monoclonale
CLS	Closed loop stimulation,
CLS	Stimulation en boucle fermee (technologie d'adaptation de frequence cardiaque)
CMB	Concentration minimale bactericide
CMB	Circonference musculaire brachiale
CMD	cardiomyopathie dilatee
CMH	complexe majeur d'histocompatibilite
CMH	cardiomyopathie hypertrophique
CMHO	Cardiomyopathie hypertrophique obstructive
CMI	Chaine mammaire interne
CMI	Concentration minimale inhibitrice
CMI / MIS	chirurgie mini-invasive, minimally invasive surgery
CML / LMC	chronic myeloid leukemia, leucemie lymphoide chronique
CMP	commissurotomie mitrale percutanee
CMT	cubo-metatarsien, cuneo-metatarsien
CMV	cytomegalovirus
CN / NT	clarte nucale, test de malformation
CN / NT	nucal translucency
CNA	colique nephretique aigue
CNI	Calcineurin inhibitor,
CNI	Inhibiteur de la calcineurine
CNL / LNC	chronic neutrophilic leukemia, leucemie neutrophile chronique
CNPG	chirurgie non penetrante du glaucome
CNTF	ciliary neurotrophic factor, facteur neurotrophique ciliaire
CO	Monoxyde de carbone
CO	cordon ombilical
COP / CVP	Protocole de chimiotherapie : cyclophosphamide - oncovin / vincristine - prednisone
COP/POC	cryptogenic organizing pneumonia, pneumonie organisee cryptogenique
COPD / BPCO	chronic obstructive pulmonary disease, broncho-pneumopathie chronique obstructive
COPUM	Congenital obstructing posterior urethral membranes,
COPUM	Obstruction congenitale des membranes uretrales posterieures
CORA	center of rotation of angulation (orthopedie)
COT	carcinome oncocytaire de la thyroide
CPA	Concentre de plaquettes d'apherese,
CPA	cellules presentatrices d'antigenes
CPA	coeur pulmonaire aigu
CPAP	Continuous positive airway pressure,
CPAP	Respiration assistee par pression positive
CPBIA	contre-pulsion par ballonnet intra-aortique
CPC	coeur pulmonaire chronique
CPD	carotide primitive droite
CPFE	Combined pulmonary fibrosis and emphysema,
CPFE	Association fibrose et emphyseme pulmonaires
CPG	carotide primitive gauche
CPI	Cardiopathie ischemique
CPIA / IABP	Contre-pulsion intra-aortique,
CPIA / IABP	Intra-aortic balloon pump
CPK	creatine phosphokinase
CPN	Consultation pre-natale
CPO	Cholangiographie per-operatoire
CPRE / ERCP	Cholangio-pancreatographie retrograde par voie endoscopique,
CPRE / ERCP	Endoscopic retrograde cholangiopancreatography
CPS	Cerebral protection system,
CPS	Systeme anti-embolie cerebrale
CPS	concentre plaquettaire standard
CPT	capacite pulmonaire totale
CRA	correspondance retinienne anormale
CRAB	calcium, renal insufficiency, anemia or bone lesions, hypercalcemie, insuffisance renale, anemie ou atteinte osseuse (myelome : 1 critere)
CRB 65	confusion, respiratory rate, blood pressure, > 65 age, score simplifie des pneumonies (echelle de 0 a 4)
CRDM	Cytopenie refractaire avec dysplasie multilignee
CRE/ERC	cholangiographie retrograde endoscopique
CREST	calcinosis, raynaud phenomen, esophageal dysmotility sclerodactyly and telangiectasia, syndrome CREST
CRF	capacite residuelle fonctionnelle
CRH	Corticotropin-releasing hormone, Corticoliberine
CRI	cardiac risk index, index de risque cardio-vasculaire
CRIB	Clinical risk index for babies,
CRIB	Indice de risque clinique pour nouveaux-nes
CRIF	Closed reduction and internal fixation, reduction fermee avec fixation interne
CRM	circumferential resection margin, marge circonferentielle de resection
CRMO / OMCR	Chronic recurrent multifocal osteomyelitis,
CRMO / OMCR	Osteomyelite multifocale chronique recidivante
CRO	compte-rendu operatoire
CRP / PCR	C reactive protein,
CRP / PCR	proteine C reactive
CRPS	complex regional pain syndrom, syndrome douleureux complexe
CRPS / SDRC	Complex regional pain syndrome,
CRPS / SDRC	Syndrome douloureux regional complexe (algodystrophie)
CRQ	Chronic respiratory questionnaire,
CRQ	Questionnaire specifique aux maladies pulmonaires
CRSC	Chorio-retinopathie sereuse centrale
CRT-D	Cardiac resynchronization therapy-defibrillator,
CRT-D	Traitement de resynchronisation cardiaque, avec defibrillateur
CRT-P	Cardiac resynchronization therapy-pacemaker,
CRT-P	Traitement de resynchronisation cardiaque, sans fonction de defibrillation
CRVP	chirurgie de reduction du volume pulmonaire
CsA	Critical shoulder angle,
CsA	Angle critique de l'epaule (coiffe des rotateurs-acromion-glene)
CsA	ciclosporine A
CSA	Critical shoulder angle,
CSA	Angle critique de l'epaule (coiffe des rotateurs-acromion-glene)
CSA	ciclosporine A
CSC	carcinome spinocellulaire
CSD	Cardiac support device,
CSD	Gaine cardiaque
CSH	Cellules souches hematopoietiques
CSI	Corticosteroide inhale
CSL	Cellules souches limbiques (conjonctive de l'oeil)
CSM	cellules souches mesenchymateuses (origine squelette, cartilage, graisse)
CSP	Cholangite sclerosante primitive
CSPB	Calcinose striopallidodentee bilaterale (maladie de Fahr)
CSS	syndrome de Churg-Strauss
CSSP	cellules souches de sang peripherique
CSTN	cancer du sein triple negatif
CT	Colonne thoracique
CT	computer tomography, tomographie par ordinateur = scanner
CT TAP	Computed tomography thorax-abdomen-pelvis,
CT TAP	Tomographie thorax-abdomen-pelvis assistee (par ordinateur)
CTCG	crises tonico-cloniques generalisees
CTEPH	Chronic thromboembolic pulmonary hypertension, Hypertension pulmonaire sur maladie thromboembolique
CTG	cardiotocographie (enregistement coeur du foetus)
CTH	cholangiographie trans-hepatique
CTMD	CT multidetecteurs (volume, resolution, temps d'opacification)
CTO / OCT	chronic total occlusion, occlusion chronique totale (coronaires)
CTSI	Computed tomography severity index, classification de Balthazar modifiee dans la pancreatite aigue (echelle de 0 a 10)
CTU	cholangiographie trans-hepatique percutanee
CU	contraction uterine
CUM	Cysto-urographie mictionnelle
CUP	cancer of unknown primary origin, cancer d'origine indeterminee
CURB-65	confusion, urea, respiratory, blood pressure, > 65 age, criteres de gravite des pneumonies (echelle de 0 a 5)
CUS	cysto-uretroscopie
CUSA	Cavitron ultrasonic surgical aspirator,
CUSA	Aspirateur chirurgical a ultrasons Cavitron
CV	cardiovasculaire
CVAD	Cyclophosphamide - Vincristine - Adriamycine (doxorubicine) - Dexamethasone
CVC	catheter veineux central
CVDA	Cardiomyopathie ventriculaire droite arythmogene
CVEE	cardiversion electrique externe
CVF	capacite vitale forcee
CVL	capacite vitale lente
CVO	crise vaso-occlusive
CVT	capacite vitale totale
CVVHD	Continuous venovenous hemodialysis,
CVVHD	Hemodialyse continue veino-veineuse a l'aide d'une pompe a sang
CVVHDF	Continuous venovenous hemodiafiltration,
CVVHDF	Hemodiafiltration continue veino-veineuse a l'aide d'une pompe a sang
CWD / CWU	Canal wall down / wall up,
CWD / CWU	Mastoidectomie ouverte / fermee
CX	artere circonflexe
CXL	Cross linking
CxT	chimiotherapie
CYP 450	cytochrome P450
DA	delivrance artificielle
DAA	dissection aigue de l'aorte
DAAT	Deficit en alpha-1-antitrypsine
DAC	dispositif d'annonce en cancerologie
DAD	Diffuse alveolar damage,
DAD	Lesions alveolaires diffuses
DAE/DEA	defibrillateur automatique externe ou externe automatise
DAI	defibrillateur automatique implantable
DAL	dispositif d'aide a l'allaitement
DALY	disability adjusted life years,
DALY	annee de vie ajustee sur l'incapacite
DAM	Diacetylmorphine
DAM	dysfonction de l'appareil manducateur
DAP	diagnostic anatomo-pathologique
DAPI	technique de drainage continu d'ascite
DAPN	distension aigue du poumon natif
DAPT	Dual antiplatelet therapy, bitherapie anti-aggregante
DARU	Delivrance placentaire avec revision uterine
DAT	diametre abdominal transverse
DAV	dispositif d'assistance ventriculaire
DAVI / IVAD	dispositif d'acces veineux integre (catheter a chambre implantable), implantable venous access device
DB	Deficit de base
DB1	diabete type 1
DB2	diabete type 2
DBB	douleurs breves et brutales
DBM	demineralized bone matrix (greffe osseuse)
DBP	Dysplasie broncho-pulmonaire
DBS / SCP	deep brain stimulation, stimulation cerebrale profonde
DC	Dilatation complete
DCA	Don a coeur arrete
DCAI/AICD	Defibrillateur cardiaque automatique implantable, Automatic implantable cardioverter defibrillator
DCH	dysplasie congenitale de hanche
DCI	denomination commune internationale (des medicaments)
DCIS / CCIS	Ductal carcinome in situ,
DCIS / CCIS	Carcinome canalaire in situ
DCL	Demence a corps de Lewy
DCP / DCS	dyskinesie ciliaire primitive / secondaire
DCR	dacryo-cysto-rhinostomie (voie endo-nasale)
DCRS	Dacryocysto-rhinostomie
DCSS	dorsal capsulo scapholunate septum
DCT / TDA	Direct Coombs test,
DCT / TDA	Test de Coombs direct, test direct a l'antiglobuline
DCV	Dysfonction des corde vocales
DD	diagnostic differentiel
DDAC	Donneurs decedes apres arret circulatoire
DDB	dilatation des bronches
DDC	des deux cotes
DDC / DDI	Delivrance dirigee complete / incomplete  (placenta)
DDGP	Dexamethasone - Cisplatine - Gencitabline - Pegaspargase
DDM / DDR	date des dernieres menstruations / regles
DDMS	syndrome de Dyke-Davidoff-Masson
DDT	Division duodenale totale
DE	defaut d'expulsion
DEAIC	dolichoectasies arterielles intracraniennes
DEB-TACE	doxorubicin-eluting bead tansarterial chemoembolization, chimio-embolisation transarterielle par billes chargees
DEC	Deshydratation extracellulaire
DECT	Dual-energy computed tomography,
DECT	Tomodensitometrie de double energie
DEG	diminution de l'etat general
DEM	debit expiratoire moyen
DEND	syndrome, developmental delay, epilepsy and neonatal diabetes
DEP	debit expiratoire de pointe
DES / EEM	drug-eluting stent, endoprothese a elution de medicaments (a liberation medicamenteuse), (stent actif)
DEVB	dolichoectasies vertebro-basilaires
DFG	debit de filtration glomerulaire
DFO	dynamic foot orthosis, orthese dynamique du pied
DFP	disproportion foeto-pelvienne
DFR	disease recurrent survival, survie avec maladie recurrente
DFS	disease free survival, survie sans maladie
DFSP	Dermatofibrosarcome protuberans,
DFSP	Dermatofibrosarcome de Darier et Ferrand
DFT / FTD	Demence fronto-temporale,
DFT / FTD	Frontotemporal dementia
Dg	Dysgenesie gonadique
Dg	diagnostic
DG	Dysgenesie gonadique
DG	diagnostic
DGCR	diGeorge chromosomal region, micro-deletion chromosome 22 (22q11)
DGIR	diabete gestationnel insulino-requerant
DH	dermatite herpetiforme
DHB	dermo-hypodermite bacterienne
DHBN	Dermo-hypodermite bacterienne necrosante
DHBP	dehydrobenzperidol (neuroleptique)
DHD	dermo-hypodermite
DHEA	dehydroepiandrosterone
DHS	dynamic hip screw, vis de hanche dynamique
DIAM	dispositif intervertebral d'assistance au mouvement (interepineux)
DIC	ligament dorsal-intercarpien = ligament scapho-triquetral
DIC	diabete insipide central
DICS	Deficit immunitaire combine severe
DICV	Deficit immunitaire commun variable
DID	diabete insulino-dependant
DIDT	tendons du droit interne et du demi-tendineux
die	(latin diebus), quotidien
DIEAP	deep inferior epigastric perforator flap, lambeau perforateur base sur l'artere epigastrique inferieure profonde
DIEP	Deep inferior epigastric perforator flap,
DIEP	Artere perforante epigastrique inferieure (prelevement de lambeau avec vaisseaux, a l'abdomen)
DIHS/SHM	drug-induced hypersensitivty syndrome, syndrome d'hypersensibilite medicamenteuse
DIP	deficit immunitaire primaire
DIP / PID	Desquamative interstitial pneumonia,
DIP / PID	Pneumopathie interstitielle desquamative
DIPG	diffuse intrinsic pointine glioma, gliome infiltrant du tronc cerebral
DIPI	Direct intraperitoneal insemination,
DIPI	Insemination intraperitoneale directe
DISE	Drug-induced sleep endoscopy, endoscopie sous sommeil induit
DISH	Diffuse idiopathic skeletal hyperostosis, Hyperostose squelettique diffuse idiopathique
DISI	dorsal intercalated segment instability, bascule dorsale du lunatum (instabilite dorsale)
DITFO	drainage interne trans-fistulo-oddien
DIU	dispositif intra-uterin (sterilet)
DK	Drain de Kehr (drainage biliaire externe)
DKS	Damus-Kaye-Stansel
DLBCL / DLBL / LBDGC	diffuse large B-cell lymphomas, lymphome B diffus a grandes cellules
DLCO	diffusion libre du CO
DLD / DLG	decubitus lateral droit / gauche
DLI	Donor lymphocyte infusion,
DLI	Transfusion de lymphocytes du donneur
DLIF	Direct lateral interbody fusion,
DLIF	Fusion de vertebres (arthrodese) par voie directe laterale
DLP	dyslipidemie
DLQI	Dermatology life quality index,
DLQI	Index dermatologique de la qualite de vie (evaluation avec score 0-30)
DM2	diabete mellitus 2
DMAA	Distal metatarsal articular angle,
DMAA	Angle d'inclinaison articulaire du 1er metatarsien
DMARD	disease modifying anti-rheumatic drugs, medicaments anti-rhumatismaux
DMC	dystrophies musculaires congenitales ou syndromes cerebraux musculaires (avec ou sans anomalie de la glycosylation)
DMC	dystrophie musculaires congenitales
DME	dose maximale efficace
DMEK	keratoplastie lamellaire profonde endotheliale
DMIA	dispositifs medicaux implantables actifs
DMLA	degenerescence maculaire liee a l'age
DMMO :	distal metatarsal minimal invasive osteotomy, osteotomie metatarsienne distale minimale invasive
DMO	densite minerale osseuse
DMP	dossier medical personnel
DMSA	traceur specifique (scintigraphie renale)
DMT	dose maximale toleree
DNC / DNI	Delivrance naturelle complete / incomplete (placenta)
DNET	dysembrioplastic neuroepithelial tumour, tumeur neuro-epitheliale dysembryoplasique
DNID	diabete non insulino-dependant
DNR / DNAR	do not resuscitate, do not attempt resuscitation, pas de tentative de reanimation cardio-pulmonaire
DO	Doppler ombilical
DO	declaration obligatoire
DOA	decompensation oedemato-ascitique
DOBV	virus Dobrava-Belgrade  (hantavirus)
18-F-DOPA	18F-Dihydroxyphenylalanine (marqueur)
DORV / VDDI	double outlet right ventricle, ventricule droit a double issue
DOT / DOTS	Directly observed therapy / short,  therapie sous observation directe (surveillance traitements, logistique, evaluation, depistage)
DOTA	Ligand macrocyclique (utilise pour le marquage)
DPA	Dialyse peritoneale automatisee
DPA	date probable d'accouchement
DPAM / PMCA	Disseminated peritoneal adenomucinosis / Peritoneal mucinous carcinomatosis,
DPAM / PMCA	Adenomucinose peritoneale disseminee / Carcinomatose mucineuse du peritoine
DPBS	Derniere preuve de bonne sante
DPC	dilatation pyelo-calicielle
DPCA / CAPD	Dialyse peritoneale continue ambulatoire (non assistee par machine),
DPCA / CAPD	Continuously ambulatory peritoneal dialysis
DPI	Dialyse peritoneale intermittente
DPI	diagnostic pre-implantatoire
DPN	Dyspnee paroxystique nocturne
DPN	diagnostic prenatal
DPNI / NIPT	diagnostic prenatal non-invasif, non invasive prenatal testing
DPO	date probable d'ovulation
DPOAE	distorsion product otoacoustic emissions,
DPOAE	produits de distorsion autoacoustiques
DPPNI	decollement premature d'un placenta normalement insere
DPV	Decollement posterieur du vitre
DPVE	derivation pyelo-vesicale extraureterale
DR	dernieres regles
DRC	Dystrophie rachidienne de croissance
DRCL	dorsal radio-carpien
DRESS	drug reaction (or rash) with eosinophilia and systemic signs, reaction grave a un medicament avec symptomes cutanes, systemiques, hematologiques
DRG	diagnosis related groups
DRI	donor-risk index,
DRI	evaluation de compatibilite du donneur
DRP	drainage rhino-pharynge
DRR	decollement de la retine rhegmatogene
DRS	douleurs retrosternales
DRUJ	Distal radioulnar joint,
DRUJ	Articulation radio-cubitale inferieure
DS	deviation standard (mineralometrie)
DS I / DS II	diabete sucre type1 / type 2
DSA	donor-specific antibodies, anticorps specifiques du donneur
DSA	defibrillateur semi-automatique
DSAEK	descemet stripping automated endothelial keratoplasty, greffe de cornee lamellaire anterieure profonde et posterieure
DSC / CBF	debit sanguin cerebral, cerebral blood flow
DSH	desir sexuel hypo-actif
DSM	diagnostic and statistical manual, manuel statistique et diagnostique
DSNE	Decollement sereux du neuro-epithelium (retine)
DT	delirium tremens
DTA / AD	Demence de type Alzheimer,
DTA / AD	Alzheimer dementia/disease
DTCP	diphterie-tetanos-coqueluche-polio (vaccin)
DTGV	transposition des gros vaisseaux
DTI	Diffusion tensor images,
DTI	Representation de tenseur de diffusion (technique IRM amelioree)
DTP	Diphterie - Tetanos - Coqueluche (bordetella pertussis) (vaccin)
DTP	Depassement du terme presume
DTS	Desorientation temporo-spatiale
DTT	drain trans-tympanique
DTTAB	diphterie-tetanos-typhoide A et B (vaccin)
DUB / AUB	saignements uterins anormaux, abnormal/dysfonctional uterine bleeding
DV	dorso-ventral
DVA	Demence vasculaire
DVA	Developmental veinous anomaly,
DVA	Anomalies veineuses developpementales
DVa	Demence vasculaire
DVa	Developmental veinous anomaly,
DVa	Anomalies veineuses developpementales
DVDA	dysplasie ventriculaire droite arythmogene
DVE / DVI	Derivation ventriculaire externe / interne
DVI	dispositifs veineux implantables
DVP	Derivation ventriculo-peritoneale
DVS	dysynergie vesico-sphincterienne
Dx	diagnostic
DXA	Dual X-ray absorptiometry,
DXA	Osteodensitometrie a rayons X double energie (biphotonique)
EAA	ectasie annulo-aortique
EAL	examen des anomalies lipidiques
EBI	Erweiterter Barthel Index,
EBI	Index de Barthel etendu (score d'evaluation de la dependance en readaptation)
EBMT	european group for blood and marrow transplantation,
EBMT	evaluation du risque de transplantation de cellules souches
EBNA	Epstein-Barr nuclear antigen, antigene nucleaire d'Epstein-Bar
EBO	endobrachyoesophage
EBpo	encombrement bronchique post-operatoire
EBUS	endobronchial ultrasound, echoendoscopie bronchique
EBUS-PTBA	endobronchial ultrasound, echoendoscopie bronchique avec ponction trans-bronchique a l'aiguille
EBV / VEB	Epstein-Barr virus,
EBV / VEB	Virus d'Epstein-Barr
ECA	etat confusionnel aigu
ECA	enzyme de conversion de l'angiotensine
ECAD	electroconisation a l'anse diathermique
ECBC	examen cytobacteriologique des crachats
ECBU	examen cytobacteriologique des urines
ECCOR / ECCO2R	extracorporeal carbon dioxide removal,  epuration extracorporelle de CO2
ECEC / EEC	extra-capsular cataract extraction, extraction extracapsulaire de cristallin
ECF	Evaluation de la capacite fonctionnelle
ECG	Electrocardiogramme
ECHO virus	enteric cytopathogenic human orphan virus, virus orphelin humain cytopathogenique enteral
ECIC / EIC	intra-capsular cararact extraction, extraction intracapsulaire de cristallin
ECLA	Extracorporal lung assist,
ECLA	Assistance respiratoire extra-corporelle
ECM	erytheme chronique migrant
ECMES	embrochage (enclouage) centro-medullaire elastique stable (osteosynthese adaptee pour os a calibre reduit)
ECMO AV	ECMO arterio-veineuse, syn. ECLA, extracorporeal lung assist ou PILA, pumpless interventional lung assist
ECMO VA	ECMO veino-arterielle, syn. ECLS, extracorporeal life support
ECMO VV	ECMO veino-veineuse, syn. ILA, interventional lung assist
ECPA / CPA / APC	Electrocoagulation au plasma d'argon, Coagulation au plasma argon,
ECPA / CPA / APC	Argon plasma coagulation
ECRB	extensor carpi radialis brevis, deuxieme radial ou court radial
ECRL	extensor carpi radialis longus, premier radial ou long radial
ECST	European carotid surgery trial, mesures de degre de stenose de la carotide symptomatique
ECT	Electroconvulsivotherapie
ECU	extensor carpi ulnerus, tendon extenseur du poignet
EDAS	Encephalo-duro-arterio-synangiose
EDC	extensor digitorum communis,
EDC	muscle extenseur commun des doigts
EDL	extensor digitorium longus, long extenseur des orteils
EDM	Extensor digiti minimi,
EDM	Muscle extenseur du 5e doigt
EDM	episode depressif majeur
EDOF	Extended deepth of focus,
EDOF	Profondeur de champ etendue (implant du cristallin)
EDR	epiphyse distale du radius
EDRF	endothelium-derived relaxing factor, facteur relaxant derive de l'endothelium
EdS	Encephalo-duro-synangiose
EdS	Episode de soin
EDS	Encephalo-duro-synangiose
EDS	Episode de soin
EDTA	ethylene diamine tetraacetique (chelateur)
EDU	epiphyse distale de l'ulna
EE	epreuve d'effort
EEG	Electroencephalogramme
EEM / DES	endoprothese a elution de medicaments (stent actif), drug-eluting stent
EEP	Etude electrophysiologique
EER	epuration extra-renale
EES	entrainement electro-systolique
EF	etat febrile
EFH	exploration fonctionnelle vasculaire
EFR	epreuve (ou exploration) fonctionnelle respiratoire
EFS / SCFE	epiphysiolyse femorale superieure (glissement), slipped capital femoral epiphysis
EFSF	Etat febrile sans foyer
EG	etat general
EGFR	Epidermal growth factor receptor,
EGFR	Recepteur du facteur de croissance epidermique
EGI	epilepsies generalisees idiopathiques
EH / HE	Encephalopathie hepatique,
EH / HE	Hepatic encephalopathy
EHEC	Enterohemorrhagic Escherichia Coli,
EHEC	Enterite enterohemorragique a Escherichia Coli
EHH	etat hyperglycemique hyprsosmolaire
EHI	encephalopathie hypoxique ischemique
EHL	extensor hallucis longus, long extenseur du gros orteil
EHPAD	etablissement d'hebergement pour personnes agees dependantes
EI	effets indesirables
EIAI	epine iliaque antero-inferieure
EIAS	epine iliaque antero-superieure
EIBPR	Epilepsie partielle infantile benigne a pointes centro-temporales
EIC	Ecart intercondylien
EIC	echocardiographie intracardiaque
EIG	espace intercostal gauche
EIM	Effet indesirable medicamenteux
EIM	Ecart inter-malleolaire
EIPS	epine iliaque postero-superieure
ELISA	enzyme-linked immunosorbent assay, dosage d'immunoadsorption par enzyme liee
ELVR	endoscopy lung volume reduction, reduction de volume pulmonaire par endoscopie
EM	endometre
EMA	Epilepsie myoclono-astatique
EMAP	Extensive macular atrophy with pseudodrusen-like appearance, Maculopathie atrophique et extensive de l'adulte
EMBT	european group for blood and marrow transplantation
EME	etat de mal epileptique
EMG	electromyogramme
EML	episiotomie medio-laterale
EML4	Echinoderm microtubule associated protein-like 4 (gene)
EMP	exposition maximale permise
EMR	endoscopic mucosal resection, mucosectomie endoscopique
EMS	etablissement (s) medico-social (aux)
EMS	encephalo-myo-synangiose
EMT	excision mesorectale
ENDS	Electronic nicotine delivery system,
ENDS	Inhalateur electronique de nicotine
ENG	Electronystagmogramme
ENMG	electroneuromyogramme
ENN	enterocolite necrosante neonatale
ENNS	Electronic non-nicotine delivery system,
ENNS	Inhalateur electronique sans nicotine
eNO	Mesure du monoxyde d'azote expire
ENS / SNV	empty nose syndrome, syndrome du nez vide
EOG	Electro-oculographie
EONS	early-onset neonatal sepsis
EOS	early onset sepsis, sepsis neonatal
EOS	radio 3D du systeme osteo-articulaire
EP	embolie pulmonaire
EPB	extensor pollicis brevis, court extenseur du pouce
EPC / CPE	enterobacteries productrices de carbapenemases,
EPC / CPE	carbapenemase-producing enterobacteriaceae
EPCT	epilepstie partielle benigne de l'enfant a pointes centro-temporales
EPEC	Enteropathogenic Escherichia Coli,
EPEC	Enterite enteropathogene a Escherichia Coli
EPH	oedeme-proteinurie-hypertension (preeclampsie, gestose)
EPI	etablissements publics d'integration
EPL	extensor pollicis longus, long extenseur du pouce
EPLIF	Extraforaminal posterior lumbar interbody fusion,
EPLIF	Fusion de vertebres (arthrodese) par voie lombaire posterieure extraforaminale
EPM	evidement petro-mastoidien (canal wall-up ou wall-down)
EPO	erythropoietine
EPP	electrophorese des proteines seriques
EPP	examen parasitologique des selles
EPR	electronic patient record, dossier patient electronique
EPR	epilepsie a paroxysmes rolandiques
EPS	Elastome perforant serpigineux
EPS	eventration peri-stomiale
EPV	espace peri-vitellin
ERAS / RRAC	Ehnanced recovery after surgery, Recuperation rapide apres chirurgie
ERC / CRE	Endoscopic retrograde cholangiography,
ERC / CRE	Cholangiographie endoscopique retrograde
ERCB	extenseur radiali carpi brevis, court extenseur radial du carpe
ERCL	extenseur radiali carpi longus, long extenseur radial du carpe
ERCP / CPRE	Endoscopic retrograde cholangiopancreatography,
ERCP / CPRE	Cholangiopancreatographie endoscopique retrograde
ERG	electroretinographie
ERI	Elective replacement indication (pace maker),
ERI	Indication de remplacement electif (pace maker)
ERP / PRE	Endoscopy retrograde pancreatography,
ERP / PRE	Pancreatographie retrograde endoscopique
ERV	enterocoque resistant a la vancomycine
ESA	Erythropoiesis stimulating agents,
ESA	Agents de stimulation de l'erythropoiese
ESA	extrasystole auriculaire
ESB	encephalopathie spongiforme bovine
ESBL / BLSE	extended-spectrum beta-lactamases, bacteries productrices de betalactamases a spectre elargi (etendu)
ESC	Societe Europeenne de cardiologie
ESD	endoscopic submucosal dissection, dissection endoscopique de sous-muqueuse (lesions digestives)
ESES	Electrical status epilepticus during slow sleep,
ESES	Etat de mal epileptique electrique pendant le sommeil lent
ESG	Endoscopic sleeve gastroplasty,
ESG	Gastroplastie endoscopique
ESM	echosclerose a la mousse
ESPT	etat de stress post-traumatique
ESRD	end-stage renal disease, insuffisance renale stade terminal
ESS	euthyroid sick syndrome, hypothyroidie centrale transitoire
ESST / TSSE	encephalopathie spongiforme subaigue transmissible,
ESST / TSSE	transmissible spongiform subacute encephalopathies
ESSV	extrasystole supra-ventriculaire
ESV	extrasystole ventriculaire
ESWL	extracorporeal shock wave lithotripsy, lithotripsie extracorporelle par onde de choc
ETC	Encephalopathie toxique chronique
EtCO2	end tidal CO2, fraction expiree en CO2
ETEC	Enterotoxigenic Escherichia Coli,
ETEC	Enterite enterotoxinogene a Escherichia Coli
ETMN	elimination du tetanos maternel et neonatal
ETO / TEE	Echocardiographie trans-oesophagienne,
ETO / TEE	Transesophageal echocardigraphy
ETP	Enclouage trans-plantaire
ETT	echocardiographie trans-thoracique
EUS-FNA	endoscopic ultrasound-guided, fine needle aspiration, ultrason endoscopique avec ponction a l'aiguille fine
EVA	echelle visuelle analogique (evaluation de la douleur)
EVAR	endovascular aneurysm repair, reparation d'un anevrisme endovasculaire
EVC	etat vegetatif chronique
EVH	Deprivation veineuse sus-hepatique
EVLT	endovenous laser treatment, traitement par laser endoveineux
EVP	Embolisation veineuse portale
EVP	etat vegetatif persistant
EVPL	endovaporisation prostatique au laser
EVS	echelle verbale simple (evaluation de la douleur)
EVTF	endoprothese valvulaire par voie femorale
f	femme
FA / FANV	fibrillation auriculaire, fibrillation auriculaire non valvulaire
FACS	Fluorescence-activated cell sorting,
FACS	Tri des cellules activees par fluorescence
FAN/AAN	facteur anti-nucleaire
FAST	focus assessment sonography for trauma, echographie ciblee dans les polytraumatismes
FAT	Fluorescent antibody test,
FAT	Test des anticorps fluorescents
FAV / AVF	fistule arterio-veineuse, arteriovenous fistula
FBC	Facio-brachio-crural
FBP	fistule broncho-pleurale
FBSS	Failed back surgery,
FBSS	Syndrome post-laminectomie (douleurs)
FC	frequence cardiaque
FCC	Fistule carotido-caverneuse
FCP	fosse cerebrale posterieure
FCR	flexor carpi radialis, flechisseur radial du carpe (ancien grand palmaire)
FCS	fausse couche spontanee
FCU	frottis cervico-uterien
FCU / FUC	flexor carpi ulna,flechisseur ulnaire du carpe (ancien cubital anterieur)
FCV	frottis cervico-vaginal
FDA	Food and drug administration
FDG	Fluorodesoxyglucose, (marqueur, identification de tissus cancereux)
FDP	flexor digitorum profundus , flechisseur commun profond des doigts
FdR ou FR	facteur de risque
FdRCV	facteur de risque cardio-vasculaire
FDS	flechisseur superficiel des doigts
FE	fraction d'ejection
FeNO	Fractional exhaled nitric oxide,
FeNO	Fraction exhalee d'oxyde d'azote
FESS	Functional endoscopic sinus surgery,
FESS	Chirurgie endoscopique des sinus (mini-invasive)
FFI	faisant fonction d'interne
FFM	Fundus flavimaculatus
FFMI	fat-free mass index, indice de masse maigre
FFP	fresh frozen plasma, plasmapherese therapeutique
FFR	fractional flow reserve, mesure par catheter de la reserve de debit fractionnaire
FGF	fibroblast growth factor, facteur de croissance de fibroblastes
FHCC	fievre hemorragique de Crimee-Congo
FHL	flexor hallucis longus, tendon flechisseur propre de l'hallux
FHSR	fievre hemorragique avec syndrome renal
FHV	Fievre hemorragique virale
FIA	Fosse ischio-anale
FICE	fuginon intelligent color enhancement (ou chromoendoscopy), chromoendoscopie virtuelle
FID / FIG	fosse iliaque droite/gauche
FIDA / FIDP	fronto-iliaque droit anterieur/posterieur
FIG	fosse iliaque gauche
FIL	Foramen intervertebral lombaire ( = zone cachee)
FILT	Fibrose interstitielle liee au tabac
FIM / MIF	functional independence measure, mesure de l'independance fonctionnelle
